Country,Segment,Date,observed_default_rate,observed_loss_rate,estimated_pd,estimated_lgd
Poland,Retail - Secured on real estate property,Sep-21,0.95%,24.22%,0.71%,34.65%
Poland,Retail - Qualifying Revolving,Sep-21,1.33%,44.43%,2.47%,72.22%
Poland,Retail - Other Retail,Sep-21,2.76%,46.77%,3.72%,56.93%
Portugal,Corporates,Sep-21,1.04%,37.68%,3.88%,40.07%
Portugal,Corporates - Of Which: Specialised Lending,Sep-21,0.87%,,1.77%,32.10%
Portugal,Corporates - Of Which: SME,Sep-21,2.01%,35.07%,6.35%,39.70%
Portugal,Retail,Sep-21,0.75%,21.56%,1.35%,20.49%
Portugal,Retail - Secured on real estate property,Sep-21,0.44%,8.19%,1.00%,17.72%
Portugal,Retail - Qualifying Revolving,Sep-21,0.66%,25.49%,4.23%,38.31%
Portugal,Retail - Other Retail,Sep-21,2.02%,32.79%,3.64%,32.49%
Romania,Corporates,Sep-21,0.57%,64.10%,2.56%,40.41%
Romania,Corporates - Of Which: Specialised Lending,Sep-21,,,4.74%,39.49%
Romania,Corporates - Of Which: SME,Sep-21,0.89%,,3.61%,40.52%
Romania,Retail,Sep-21,1.73%,59.14%,2.81%,49.22%
Romania,Retail - Secured on real estate property,Sep-21,0.59%,,2.35%,38.45%
Romania,Retail - Qualifying Revolving,Sep-21,1.29%,61.07%,1.13%,49.05%
Romania,Retail - Other Retail,Sep-21,3.16%,62.66%,3.47%,58.89%
Slovakia,Corporates,Sep-21,1.40%,55.99%,2.38%,39.33%
Slovakia,Corporates - Of Which: Specialised Lending,Sep-21,,,11.59%,35.75%
Slovakia,Corporates - Of Which: SME,Sep-21,2.67%,59.72%,3.39%,41.30%
Slovakia,Retail,Sep-21,0.45%,40.71%,1.01%,23.70%
Slovakia,Retail - Secured on real estate property,Sep-21,0.35%,28.89%,0.80%,20.92%
Slovakia,Retail - Qualifying Revolving,Sep-21,0.64%,53.72%,2.78%,55.59%
Slovakia,Retail - Other Retail,Sep-21,1.30%,63.24%,2.63%,42.50%
Slovenia,Corporates,Sep-21,0.16%,,2.04%,40.15%
Slovenia,Corporates - Of Which: Specialised Lending,Sep-21,,,,
Slovenia,Corporates - Of Which: SME,Sep-21,0.67%,,4.41%,38.67%
Slovenia,Retail,Sep-21,9.42%,54.89%,3.01%,37.05%
Slovenia,Retail - Secured on real estate property,Sep-21,,,3.35%,22.79%
Slovenia,Retail - Qualifying Revolving,Sep-21,11.04%,,6.06%,65.08%
Slovenia,Retail - Other Retail,Sep-21,1.48%,45.65%,2.57%,47.23%
Spain,Corporates,Sep-21,1.96%,20.25%,2.64%,41.26%
Spain,Corporates - Of Which: Specialised Lending,Sep-21,3.85%,14.47%,1.52%,22.32%
Spain,Corporates - Of Which: SME,Sep-21,2.58%,21.02%,4.53%,40.46%
Spain,Retail,Sep-21,1.25%,29.24%,1.86%,28.79%
Spain,Retail - Secured on real estate property,Sep-21,0.92%,15.52%,1.27%,21.53%
Spain,Retail - Qualifying Revolving,Sep-21,0.83%,50.43%,2.46%,59.31%
Spain,Retail - Other Retail,Sep-21,2.63%,38.36%,4.29%,52.10%
Sweden,Corporates,Sep-21,0.08%,19.06%,0.64%,24.70%
Sweden,Corporates - Of Which: Specialised Lending,Sep-21,,,1.43%,28.20%
Sweden,Corporates - Of Which: SME,Sep-21,0.16%,17.94%,0.64%,18.04%
Sweden,Retail,Sep-21,0.11%,15.55%,0.34%,12.52%
Sweden,Retail - Secured on real estate property,Sep-21,0.07%,5.64%,0.27%,10.82%
Sweden,Retail - Qualifying Revolving,Sep-21,0.50%,40.60%,1.54%,60.93%
Sweden,Retail - Other Retail,Sep-21,0.61%,30.56%,1.32%,35.76%
United Kingdom,Corporates,Sep-21,1.02%,25.50%,1.06%,34.90%
United Kingdom,Corporates - Of Which: Specialised Lending,Sep-21,3.41%,18.79%,1.81%,26.11%
United Kingdom,Corporates - Of Which: SME,Sep-21,7.40%,,2.21%,35.51%
United Kingdom,Retail,Sep-21,2.51%,5.92%,2.25%,12.95%
United Kingdom,Retail - Secured on real estate property,Sep-21,2.59%,3.95%,2.26%,8.98%
United Kingdom,Retail - Qualifying Revolving,Sep-21,1.03%,49.58%,1.70%,73.13%
United Kingdom,Retail - Other Retail,Sep-21,2.08%,48.97%,2.47%,54.66%
Australia,Corporates,Sep-21,0.86%,9.10%,1.40%,20.63%
Australia,Corporates - Of Which: Specialised Lending,Sep-21,,,0.92%,16.08%
Australia,Corporates - Of Which: SME,Sep-21,,,0.89%,11.14%
Australia,Retail,Sep-21,2.12%,5.14%,0.50%,11.85%
Australia,Retail - Secured on real estate property,Sep-21,2.14%,,0.44%,11.20%
Australia,Retail - Qualifying Revolving,Sep-21,0.74%,32.97%,1.13%,59.25%
Australia,Retail - Other Retail,Sep-21,1.99%,19.35%,2.14%,30.37%
Canada,Corporates,Sep-21,0.18%,,1.00%,28.82%
Canada,Corporates - Of Which: Specialised Lending,Sep-21,,,1.32%,28.02%
Canada,Corporates - Of Which: SME,Sep-21,,,1.03%,20.71%
Canada,Retail,Sep-21,1.67%,14.33%,2.22%,17.89%
Canada,Retail - Secured on real estate property,Sep-21,1.36%,,0.80%,15.14%
Canada,Retail - Qualifying Revolving,Sep-21,0.90%,29.41%,1.91%,52.16%
Canada,Retail - Other Retail,Sep-21,1.87%,14.20%,2.52%,18.09%
China,Corporates,Sep-21,2.02%,,0.74%,44.51%
China,Corporates - Of Which: Specialised Lending,Sep-21,,,1.14%,29.81%
China,Corporates - Of Which: SME,Sep-21,,,2.78%,38.33%
China,Retail,Sep-21,0.35%,13.64%,0.76%,16.02%
China,Retail - Secured on real estate property,Sep-21,1.64%,,0.82%,14.91%
China,Retail - Qualifying Revolving,Sep-21,0.80%,41.57%,1.31%,55.66%
China,Retail - Other Retail,Sep-21,0.81%,33.63%,1.03%,16.23%
Hong Kong,Corporates,Sep-21,0.19%,,1.32%,32.42%
Hong Kong,Corporates - Of Which: Specialised Lending,Sep-21,,,0.99%,16.70%
Hong Kong,Corporates - Of Which: SME,Sep-21,,,5.93%,39.46%
Hong Kong,Retail,Sep-21,0.37%,5.76%,0.47%,11.84%
Hong Kong,Retail - Secured on real estate property,Sep-21,2.52%,,0.70%,15.00%
Hong Kong,Retail - Qualifying Revolving,Sep-21,0.21%,35.75%,1.48%,50.69%
Hong Kong,Retail - Other Retail,Sep-21,0.05%,38.91%,0.34%,9.55%
India,Corporates,Sep-21,,,2.08%,40.03%
India,Corporates - Of Which: Specialised Lending,Sep-21,,,1.72%,18.85%
India,Corporates - Of Which: SME,Sep-21,,,3.96%,35.02%
India,Retail,Sep-21,0.76%,53.71%,1.19%,33.01%
India,Retail - Secured on real estate property,Sep-21,0.00%,,1.20%,19.76%
India,Retail - Qualifying Revolving,Sep-21,3.65%,47.24%,3.17%,55.75%
India,Retail - Other Retail,Sep-21,0.95%,55.27%,1.37%,43.45%
"Korea, Republic Of",Corporates,Sep-21,,,0.48%,40.40%
"Korea, Republic Of",Corporates - Of Which: Specialised Lending,Sep-21,,,0.75%,18.18%
"Korea, Republic Of",Corporates - Of Which: SME,Sep-21,,,2.49%,25.38%
"Korea, Republic Of",Retail,Sep-21,0.55%,66.58%,1.07%,68.51%
"Korea, Republic Of",Retail - Secured on real estate property,Sep-21,,,0.35%,15.30%
"Korea, Republic Of",Retail - Qualifying Revolving,Sep-21,2.27%,,1.28%,57.95%
"Korea, Republic Of",Retail - Other Retail,Sep-21,0.51%,71.55%,1.10%,70.03%
Russian Federation,Corporates,Sep-21,0.04%,,0.57%,39.06%
Russian Federation,Corporates - Of Which: Specialised Lending,Sep-21,,,1.20%,22.89%
Russian Federation,Corporates - Of Which: SME,Sep-21,,,3.28%,43.92%
Russian Federation,Retail,Sep-21,2.99%,17.33%,2.34%,20.73%
Russian Federation,Retail - Secured on real estate property,Sep-21,3.71%,16.87%,2.50%,19.29%
Russian Federation,Retail - Qualifying Revolving,Sep-21,2.01%,26.25%,2.10%,58.65%
Russian Federation,Retail - Other Retail,Sep-21,1.75%,41.38%,1.34%,17.29%
Singapore,Corporates,Sep-21,2.60%,,1.53%,27.82%
Singapore,Corporates - Of Which: Specialised Lending,Sep-21,,,1.97%,18.83%
Singapore,Corporates - Of Which: SME,Sep-21,,,6.21%,22.09%
Singapore,Retail,Sep-21,0.68%,8.96%,0.56%,10.91%
Singapore,Retail - Secured on real estate property,Sep-21,0.70%,,0.79%,14.58%
Singapore,Retail - Qualifying Revolving,Sep-21,0.59%,,1.19%,53.62%
Singapore,Retail - Other Retail,Sep-21,0.06%,20.16%,0.44%,9.02%
Switzerland,Corporates,Sep-21,0.66%,10.92%,1.10%,30.63%
Switzerland,Corporates - Of Which: Specialised Lending,Sep-21,,,0.73%,22.83%
Switzerland,Corporates - Of Which: SME,Sep-21,0.43%,,2.41%,29.82%
Switzerland,Retail,Sep-21,0.48%,11.86%,0.97%,20.89%
Switzerland,Retail - Secured on real estate property,Sep-21,0.38%,14.26%,0.73%,19.29%
Switzerland,Retail - Qualifying Revolving,Sep-21,0.62%,31.65%,1.85%,51.93%
Switzerland,Retail - Other Retail,Sep-21,1.70%,8.56%,1.09%,21.33%
United States,Corporates,Sep-21,0.75%,19.42%,1.34%,27.02%
United States,Corporates - Of Which: Specialised Lending,Sep-21,3.18%,10.88%,2.49%,20.36%
United States,Corporates - Of Which: SME,Sep-21,0.45%,,2.90%,22.37%
United States,Retail,Sep-21,2.23%,16.12%,2.07%,24.24%
United States,Retail - Secured on real estate property,Sep-21,0.72%,9.90%,1.08%,16.27%
United States,Retail - Qualifying Revolving,Sep-21,0.58%,33.15%,1.58%,57.17%
United States,Retail - Other Retail,Sep-21,2.63%,16.24%,2.32%,25.92%
Austria,Corporates,Jun-21,1.16%,38.28%,1.27%,34.30%
Austria,Corporates - Of Which: Specialised Lending,Jun-21,,,1.62%,10.39%
Austria,Corporates - Of Which: SME,Jun-21,1.49%,19.85%,2.53%,31.35%
Austria,Retail,Jun-21,0.76%,27.24%,1.23%,31.62%
Austria,Retail - Secured on real estate property,Jun-21,0.60%,8.15%,1.08%,16.01%
Austria,Retail - Qualifying Revolving,Jun-21,0.67%,55.98%,1.78%,65.00%
Austria,Retail - Other Retail,Jun-21,1.08%,43.08%,1.75%,55.49%
Belgium,Corporates,Jun-21,1.68%,15.62%,2.39%,26.87%
Belgium,Corporates - Of Which: Specialised Lending,Jun-21,2.87%,2.73%,1.33%,22.27%
Belgium,Corporates - Of Which: SME,Jun-21,1.59%,15.14%,2.63%,24.61%
Belgium,Retail,Jun-21,0.92%,8.64%,0.96%,17.06%
Belgium,Retail - Secured on real estate property,Jun-21,0.83%,3.42%,0.85%,13.18%
Belgium,Retail - Qualifying Revolving,Jun-21,1.14%,18.17%,0.70%,49.04%
Belgium,Retail - Other Retail,Jun-21,1.26%,22.32%,1.55%,32.70%
Bulgaria,Corporates,Jun-21,3.03%,,3.72%,50.80%
Bulgaria,Corporates - Of Which: Specialised Lending,Jun-21,,,66.64%,54.17%
Bulgaria,Corporates - Of Which: SME,Jun-21,6.65%,,3.44%,41.03%
Bulgaria,Retail,Jun-21,3.43%,58.50%,2.32%,33.11%
Bulgaria,Retail - Secured on real estate property,Jun-21,2.88%,45.56%,1.81%,24.08%
Bulgaria,Retail - Qualifying Revolving,Jun-21,2.78%,89.72%,3.25%,43.31%
Bulgaria,Retail - Other Retail,Jun-21,5.01%,71.76%,3.88%,56.68%
Croatia,Corporates,Jun-21,0.87%,,3.80%,40.74%
Croatia,Corporates - Of Which: Specialised Lending,Jun-21,,,0.85%,18.81%
Croatia,Corporates - Of Which: SME,Jun-21,,,6.00%,41.26%
Croatia,Retail,Jun-21,1.74%,16.91%,2.52%,42.77%
Croatia,Retail - Secured on real estate property,Jun-21,,,1.77%,33.80%
Croatia,Retail - Qualifying Revolving,Jun-21,1.36%,54.16%,1.77%,61.12%
Croatia,Retail - Other Retail,Jun-21,2.23%,16.74%,2.99%,48.14%
Cyprus,Corporates,Jun-21,0.26%,31.54%,3.82%,30.63%
Cyprus,Corporates - Of Which: Specialised Lending,Jun-21,,,5.38%,23.70%
Cyprus,Corporates - Of Which: SME,Jun-21,,,4.55%,15.45%
Cyprus,Retail,Jun-21,1.60%,59.12%,1.33%,58.35%
Cyprus,Retail - Secured on real estate property,Jun-21,,,1.11%,18.79%
Cyprus,Retail - Qualifying Revolving,Jun-21,1.04%,67.18%,1.44%,60.32%
Cyprus,Retail - Other Retail,Jun-21,1.09%,57.54%,1.44%,69.95%
Czech,Corporates,Jun-21,0.93%,37.55%,2.37%,33.20%
Czech,Corporates - Of Which: Specialised Lending,Jun-21,0.42%,30.01%,1.71%,26.28%
Czech,Corporates - Of Which: SME,Jun-21,1.78%,32.45%,3.15%,32.87%
Czech,Retail,Jun-21,0.93%,32.77%,1.40%,26.56%
Czech,Retail - Secured on real estate property,Jun-21,0.60%,18.30%,1.05%,20.41%
Czech,Retail - Qualifying Revolving,Jun-21,0.77%,46.86%,1.61%,54.83%
Czech,Retail - Other Retail,Jun-21,1.84%,45.91%,2.35%,41.51%
Denmark,Corporates,Jun-21,0.70%,18.90%,1.11%,22.45%
Denmark,Corporates - Of Which: Specialised Lending,Jun-21,,,1.39%,25.67%
Denmark,Corporates - Of Which: SME,Jun-21,0.38%,24.16%,1.45%,20.87%
Denmark,Retail,Jun-21,0.52%,12.89%,0.83%,18.92%
Denmark,Retail - Secured on real estate property,Jun-21,0.52%,9.63%,0.78%,16.69%
Denmark,Retail - Qualifying Revolving,Jun-21,1.95%,28.75%,1.67%,58.77%
Denmark,Retail - Other Retail,Jun-21,0.58%,38.02%,1.82%,43.13%
Estonia,Corporates,Jun-21,1.07%,,1.93%,41.16%
Estonia,Corporates - Of Which: Specialised Lending,Jun-21,,,1.21%,25.97%
Estonia,Corporates - Of Which: SME,Jun-21,,,1.75%,39.56%
Estonia,Retail,Jun-21,0.75%,28.33%,1.39%,15.81%
Estonia,Retail - Secured on real estate property,Jun-21,0.73%,28.06%,1.10%,12.81%
Estonia,Retail - Qualifying Revolving,Jun-21,2.87%,60.42%,2.68%,53.71%
Estonia,Retail - Other Retail,Jun-21,0.80%,29.24%,2.75%,29.96%
Finland,Corporates,Jun-21,1.46%,14.48%,1.10%,35.23%
Finland,Corporates - Of Which: Specialised Lending,Jun-21,,,0.58%,27.96%
Finland,Corporates - Of Which: SME,Jun-21,2.05%,12.22%,1.59%,31.94%
Finland,Retail,Jun-21,1.23%,3.19%,1.43%,21.06%
Finland,Retail - Secured on real estate property,Jun-21,1.26%,2.36%,1.02%,17.04%
Finland,Retail - Qualifying Revolving,Jun-21,1.83%,27.31%,1.81%,58.68%
Finland,Retail - Other Retail,Jun-21,1.17%,6.98%,3.34%,34.69%
France,Corporates,Jun-21,0.80%,19.51%,1.84%,34.42%
France,Corporates - Of Which: Specialised Lending,Jun-21,0.45%,6.24%,1.24%,21.45%
France,Corporates - Of Which: SME,Jun-21,1.42%,25.45%,2.90%,34.81%
France,Retail,Jun-21,0.48%,19.55%,1.40%,17.03%
France,Retail - Secured on real estate property,Jun-21,0.31%,10.15%,1.02%,12.55%
France,Retail - Qualifying Revolving,Jun-21,0.71%,39.03%,2.68%,36.59%
France,Retail - Other Retail,Jun-21,0.79%,24.72%,1.83%,22.83%
Germany,Corporates,Jun-21,0.53%,28.34%,1.03%,36.93%
Germany,Corporates - Of Which: Specialised Lending,Jun-21,0.55%,27.10%,1.03%,32.84%
Germany,Corporates - Of Which: SME,Jun-21,0.73%,33.88%,1.12%,32.77%
Germany,Retail,Jun-21,0.55%,24.38%,0.89%,27.58%
Germany,Retail - Secured on real estate property,Jun-21,0.36%,8.64%,0.70%,17.69%
Germany,Retail - Qualifying Revolving,Jun-21,0.42%,32.41%,0.56%,65.57%
Germany,Retail - Other Retail,Jun-21,1.16%,37.81%,1.68%,46.33%
Greece,Corporates,Jun-21,0.89%,47.04%,9.60%,39.13%
Greece,Corporates - Of Which: Specialised Lending,Jun-21,,,4.69%,23.92%
Greece,Corporates - Of Which: SME,Jun-21,,,19.71%,38.04%
Greece,Retail,Jun-21,6.73%,78.44%,11.59%,28.70%
Greece,Retail - Secured on real estate property,Jun-21,7.78%,77.55%,11.77%,18.80%
Greece,Retail - Qualifying Revolving,Jun-21,2.06%,69.01%,4.12%,63.79%
Greece,Retail - Other Retail,Jun-21,7.62%,82.53%,14.60%,37.51%
Hungary,Corporates,Jun-21,1.90%,57.64%,1.72%,43.47%
Hungary,Corporates - Of Which: Specialised Lending,Jun-21,2.47%,,2.77%,32.01%
Hungary,Corporates - Of Which: SME,Jun-21,3.00%,50.48%,2.74%,46.17%
Hungary,Retail,Jun-21,1.01%,47.27%,2.80%,43.49%
Hungary,Retail - Secured on real estate property,Jun-21,0.80%,,1.88%,34.14%
Hungary,Retail - Qualifying Revolving,Jun-21,2.12%,46.80%,1.95%,61.89%
Hungary,Retail - Other Retail,Jun-21,1.54%,54.34%,4.95%,65.37%
Ireland,Corporates,Jun-21,1.94%,20.39%,1.62%,28.28%
Ireland,Corporates - Of Which: Specialised Lending,Jun-21,,,12.65%,29.87%
Ireland,Corporates - Of Which: SME,Jun-21,3.83%,,3.74%,34.58%
Ireland,Retail,Jun-21,1.02%,15.38%,2.21%,26.34%
Ireland,Retail - Secured on real estate property,Jun-21,0.91%,13.20%,2.05%,23.66%
Ireland,Retail - Qualifying Revolving,Jun-21,0.52%,23.97%,2.26%,59.61%
Ireland,Retail - Other Retail,Jun-21,3.39%,25.18%,4.66%,59.84%
Italy,Corporates,Jun-21,0.50%,27.74%,4.98%,37.09%
Italy,Corporates - Of Which: Specialised Lending,Jun-21,1.33%,28.87%,3.05%,21.09%
Italy,Corporates - Of Which: SME,Jun-21,0.93%,28.21%,10.86%,39.05%
Italy,Retail,Jun-21,2.55%,39.48%,2.22%,26.41%
Italy,Retail - Secured on real estate property,Jun-21,2.36%,33.35%,1.46%,19.79%
Italy,Retail - Qualifying Revolving,Jun-21,0.19%,30.43%,3.55%,61.60%
Italy,Retail - Other Retail,Jun-21,2.98%,48.04%,5.69%,40.69%
Latvia,Corporates,Jun-21,5.02%,18.64%,1.85%,41.71%
Latvia,Corporates - Of Which: Specialised Lending,Jun-21,,,,
Latvia,Corporates - Of Which: SME,Jun-21,,,2.14%,38.92%
Latvia,Retail,Jun-21,1.41%,37.94%,2.66%,24.72%
Latvia,Retail - Secured on real estate property,Jun-21,1.53%,35.24%,2.09%,18.81%
Latvia,Retail - Qualifying Revolving,Jun-21,7.18%,,6.62%,60.08%
Latvia,Retail - Other Retail,Jun-21,1.11%,47.78%,4.33%,42.93%
Lithuania,Corporates,Jun-21,2.11%,69.84%,1.36%,41.22%
Lithuania,Corporates - Of Which: Specialised Lending,Jun-21,,,,
Lithuania,Corporates - Of Which: SME,Jun-21,6.23%,45.79%,2.52%,39.53%
Lithuania,Retail,Jun-21,1.13%,37.55%,1.44%,18.31%
Lithuania,Retail - Secured on real estate property,Jun-21,1.22%,37.31%,1.21%,15.70%
Lithuania,Retail - Qualifying Revolving,Jun-21,2.75%,44.74%,3.85%,55.94%
Lithuania,Retail - Other Retail,Jun-21,0.63%,40.27%,2.98%,36.64%
Luxembourg,Corporates,Jun-21,0.83%,7.08%,1.65%,30.82%
Luxembourg,Corporates - Of Which: Specialised Lending,Jun-21,0.76%,,0.92%,24.97%
Luxembourg,Corporates - Of Which: SME,Jun-21,1.83%,14.82%,2.13%,29.74%
Luxembourg,Retail,Jun-21,0.38%,9.55%,1.01%,16.38%
Luxembourg,Retail - Secured on real estate property,Jun-21,0.25%,2.57%,0.88%,15.22%
Luxembourg,Retail - Qualifying Revolving,Jun-21,0.29%,32.50%,0.59%,6.20%
Luxembourg,Retail - Other Retail,Jun-21,1.24%,15.44%,1.98%,22.38%
Malta,Corporates,Jun-21,0.00%,,2.81%,20.74%
Malta,Corporates - Of Which: Specialised Lending,Jun-21,,,2.93%,15.07%
Malta,Corporates - Of Which: SME,Jun-21,,,0.87%,18.15%
Malta,Retail,Jun-21,1.02%,46.73%,2.32%,17.88%
Malta,Retail - Secured on real estate property,Jun-21,,,1.43%,17.61%
Malta,Retail - Qualifying Revolving,Jun-21,0.94%,,1.31%,51.86%
Malta,Retail - Other Retail,Jun-21,2.30%,97.72%,3.39%,18.10%
Netherlands,Corporates,Jun-21,1.28%,11.75%,1.38%,26.89%
Netherlands,Corporates - Of Which: Specialised Lending,Jun-21,0.73%,8.97%,1.35%,15.09%
Netherlands,Corporates - Of Which: SME,Jun-21,2.51%,12.36%,2.60%,18.58%
Netherlands,Retail,Jun-21,0.54%,10.30%,0.61%,12.07%
Netherlands,Retail - Secured on real estate property,Jun-21,0.46%,5.51%,0.56%,10.77%
Netherlands,Retail - Qualifying Revolving,Jun-21,1.08%,40.49%,2.58%,49.49%
Netherlands,Retail - Other Retail,Jun-21,2.00%,28.10%,2.48%,41.81%
Norway,Corporates,Jun-21,1.20%,41.75%,1.22%,26.84%
Norway,Corporates - Of Which: Specialised Lending,Jun-21,,,2.00%,21.07%
Norway,Corporates - Of Which: SME,Jun-21,0.24%,,1.12%,23.52%
Norway,Retail,Jun-21,0.31%,20.78%,0.83%,21.68%
Norway,Retail - Secured on real estate property,Jun-21,0.13%,9.31%,0.56%,19.69%
Norway,Retail - Qualifying Revolving,Jun-21,1.57%,30.37%,1.95%,58.93%
Norway,Retail - Other Retail,Jun-21,0.96%,24.68%,1.98%,29.46%
Poland,Corporates,Jun-21,0.50%,37.01%,1.53%,36.73%
Poland,Corporates - Of Which: Specialised Lending,Jun-21,0.46%,,0.80%,40.48%
Poland,Corporates - Of Which: SME,Jun-21,0.59%,,2.25%,30.75%
Poland,Retail,Jun-21,1.37%,36.06%,1.58%,42.56%
Poland,Retail - Secured on real estate property,Jun-21,0.87%,24.31%,0.71%,34.66%
Poland,Retail - Qualifying Revolving,Jun-21,1.22%,45.95%,2.38%,72.13%
Poland,Retail - Other Retail,Jun-21,2.52%,44.39%,3.70%,56.74%
Portugal,Corporates,Jun-21,0.88%,36.39%,3.46%,40.27%
Portugal,Corporates - Of Which: Specialised Lending,Jun-21,0.86%,,1.89%,31.79%
Portugal,Corporates - Of Which: SME,Jun-21,1.66%,30.83%,5.13%,39.76%
Portugal,Retail,Jun-21,0.76%,20.99%,1.40%,20.60%
Portugal,Retail - Secured on real estate property,Jun-21,0.46%,8.04%,1.04%,17.75%
Portugal,Retail - Qualifying Revolving,Jun-21,0.72%,24.77%,4.28%,38.04%
Portugal,Retail - Other Retail,Jun-21,1.93%,32.30%,3.48%,32.55%
Romania,Corporates,Jun-21,0.74%,56.64%,2.95%,40.94%
Romania,Corporates - Of Which: Specialised Lending,Jun-21,,,5.85%,37.69%
Romania,Corporates - Of Which: SME,Jun-21,0.97%,,3.64%,40.60%
Romania,Retail,Jun-21,1.74%,57.56%,2.90%,48.83%
Romania,Retail - Secured on real estate property,Jun-21,0.67%,,2.15%,37.65%
Romania,Retail - Qualifying Revolving,Jun-21,1.37%,59.37%,2.14%,49.04%
Romania,Retail - Other Retail,Jun-21,2.98%,63.08%,3.43%,58.79%
Slovakia,Corporates,Jun-21,1.45%,68.02%,2.25%,39.31%
Slovakia,Corporates - Of Which: Specialised Lending,Jun-21,0.17%,,6.44%,30.57%
Slovakia,Corporates - Of Which: SME,Jun-21,3.16%,65.58%,3.53%,41.32%
Slovakia,Retail,Jun-21,0.50%,40.58%,0.99%,23.73%
Slovakia,Retail - Secured on real estate property,Jun-21,0.40%,28.29%,0.78%,20.97%
Slovakia,Retail - Qualifying Revolving,Jun-21,0.72%,51.84%,2.77%,55.54%
Slovakia,Retail - Other Retail,Jun-21,1.36%,64.17%,2.66%,42.71%
Slovenia,Corporates,Jun-21,1.03%,,2.20%,39.83%
Slovenia,Corporates - Of Which: Specialised Lending,Jun-21,,,1.45%,11.47%
Slovenia,Corporates - Of Which: SME,Jun-21,4.32%,,4.87%,40.18%
Slovenia,Retail,Jun-21,12.23%,53.27%,2.85%,37.60%
Slovenia,Retail - Secured on real estate property,Jun-21,,,2.56%,22.65%
Slovenia,Retail - Qualifying Revolving,Jun-21,,,1.86%,61.30%
Slovenia,Retail - Other Retail,Jun-21,3.10%,63.85%,3.07%,48.14%
Spain,Corporates,Jun-21,1.84%,20.49%,2.72%,41.22%
Spain,Corporates - Of Which: Specialised Lending,Jun-21,2.96%,12.43%,1.44%,22.85%
Spain,Corporates - Of Which: SME,Jun-21,2.37%,22.24%,4.66%,40.48%
Spain,Retail,Jun-21,1.23%,28.34%,1.91%,28.95%
Spain,Retail - Secured on real estate property,Jun-21,0.95%,15.31%,1.29%,21.61%
Spain,Retail - Qualifying Revolving,Jun-21,0.91%,49.74%,2.55%,58.78%
Spain,Retail - Other Retail,Jun-21,2.52%,39.59%,4.43%,52.29%
Sweden,Corporates,Jun-21,0.11%,21.09%,0.64%,24.42%
Sweden,Corporates - Of Which: Specialised Lending,Jun-21,,,1.46%,27.95%
Sweden,Corporates - Of Which: SME,Jun-21,0.23%,21.49%,0.65%,17.79%
Sweden,Retail,Jun-21,0.12%,15.67%,0.35%,12.54%
Sweden,Retail - Secured on real estate property,Jun-21,0.07%,5.21%,0.28%,10.83%
Sweden,Retail - Qualifying Revolving,Jun-21,0.64%,38.36%,1.64%,59.64%
Sweden,Retail - Other Retail,Jun-21,0.63%,30.11%,1.37%,35.76%
United Kingdom,Corporates,Jun-21,1.16%,23.58%,1.11%,34.51%
United Kingdom,Corporates - Of Which: Specialised Lending,Jun-21,3.44%,15.43%,1.88%,26.29%
United Kingdom,Corporates - Of Which: SME,Jun-21,6.61%,,3.37%,30.67%
United Kingdom,Retail,Jun-21,1.93%,5.56%,2.28%,13.12%
United Kingdom,Retail - Secured on real estate property,Jun-21,1.97%,3.36%,2.29%,9.17%
United Kingdom,Retail - Qualifying Revolving,Jun-21,0.91%,48.47%,1.66%,73.10%
United Kingdom,Retail - Other Retail,Jun-21,2.13%,41.52%,2.82%,55.42%
Australia,Corporates,Jun-21,0.75%,2.89%,1.54%,20.43%
Australia,Corporates - Of Which: Specialised Lending,Jun-21,,,0.77%,16.56%
Australia,Corporates - Of Which: SME,Jun-21,,,0.94%,11.52%
Australia,Retail,Jun-21,2.03%,5.61%,0.53%,13.36%
Australia,Retail - Secured on real estate property,Jun-21,2.04%,5.23%,0.48%,12.82%
Australia,Retail - Qualifying Revolving,Jun-21,1.10%,25.74%,1.17%,57.90%
Australia,Retail - Other Retail,Jun-21,2.16%,17.62%,2.11%,29.26%
Canada,Corporates,Jun-21,0.65%,,1.09%,29.58%
Canada,Corporates - Of Which: Specialised Lending,Jun-21,,,1.32%,27.66%
Canada,Corporates - Of Which: SME,Jun-21,,,0.78%,21.21%
Canada,Retail,Jun-21,1.98%,14.79%,2.36%,18.00%
Canada,Retail - Secured on real estate property,Jun-21,1.15%,15.26%,0.89%,15.55%
Canada,Retail - Qualifying Revolving,Jun-21,0.82%,32.43%,2.63%,51.98%
Canada,Retail - Other Retail,Jun-21,2.19%,14.83%,2.69%,18.33%
China,Corporates,Jun-21,2.04%,,0.77%,43.52%
China,Corporates - Of Which: Specialised Lending,Jun-21,,,1.58%,28.57%
China,Corporates - Of Which: SME,Jun-21,,,2.07%,41.23%
China,Retail,Jun-21,0.49%,15.08%,0.82%,16.03%
China,Retail - Secured on real estate property,Jun-21,2.16%,,0.76%,14.78%
China,Retail - Qualifying Revolving,Jun-21,1.11%,41.59%,1.58%,55.29%
China,Retail - Other Retail,Jun-21,0.56%,35.52%,1.17%,16.98%
Hong Kong,Corporates,Jun-21,0.99%,9.30%,1.26%,32.05%
Hong Kong,Corporates - Of Which: Specialised Lending,Jun-21,,,0.84%,15.18%
Hong Kong,Corporates - Of Which: SME,Jun-21,,,2.61%,48.25%
