Country,Segment,Date,observed_default_rate,observed_loss_rate,estimated_pd,estimated_lgd
Ireland,Retail - Secured on real estate property,Mar-22,1.20%,19.88%,1.49%,24.68%
Ireland,Retail - Qualifying Revolving,Mar-22,0.61%,24.84%,2.30%,59.52%
Ireland,Retail - Other Retail,Mar-22,2.39%,26.14%,5.16%,59.97%
Italy,Corporates,Mar-22,0.60%,26.68%,4.18%,35.94%
Italy,Corporates - Of Which: Specialised Lending,Mar-22,,,1.81%,20.81%
Italy,Corporates - Of Which: SME,Mar-22,1.17%,26.06%,8.64%,38.06%
Italy,Retail,Mar-22,0.94%,29.29%,2.15%,25.40%
Italy,Retail - Secured on real estate property,Mar-22,0.68%,19.28%,1.50%,19.08%
Italy,Retail - Qualifying Revolving,Mar-22,0.37%,34.35%,3.56%,59.39%
Italy,Retail - Other Retail,Mar-22,1.41%,37.27%,4.22%,37.67%
Latvia,Corporates,Mar-22,,,1.53%,41.55%
Latvia,Corporates - Of Which: Specialised Lending,Mar-22,,,,
Latvia,Corporates - Of Which: SME,Mar-22,,,2.25%,38.31%
Latvia,Retail,Mar-22,0.99%,38.17%,2.59%,25.92%
Latvia,Retail - Secured on real estate property,Mar-22,1.10%,36.48%,2.05%,20.45%
Latvia,Retail - Qualifying Revolving,Mar-22,,,5.47%,66.08%
Latvia,Retail - Other Retail,Mar-22,0.67%,46.10%,4.23%,43.16%
Lithuania,Corporates,Mar-22,,,1.27%,41.77%
Lithuania,Corporates - Of Which: Specialised Lending,Mar-22,,,,
Lithuania,Corporates - Of Which: SME,Mar-22,,,2.46%,39.76%
Lithuania,Retail,Mar-22,0.62%,37.48%,1.48%,18.75%
Lithuania,Retail - Secured on real estate property,Mar-22,0.67%,37.78%,1.22%,15.86%
Lithuania,Retail - Qualifying Revolving,Mar-22,3.30%,,3.72%,65.11%
Lithuania,Retail - Other Retail,Mar-22,0.35%,34.29%,3.00%,36.07%
Luxembourg,Corporates,Mar-22,0.53%,6.38%,1.38%,31.12%
Luxembourg,Corporates - Of Which: Specialised Lending,Mar-22,0.54%,,0.97%,25.45%
Luxembourg,Corporates - Of Which: SME,Mar-22,0.28%,,2.11%,31.04%
Luxembourg,Retail,Mar-22,0.33%,12.88%,0.99%,16.22%
Luxembourg,Retail - Secured on real estate property,Mar-22,0.17%,3.52%,0.86%,15.08%
Luxembourg,Retail - Qualifying Revolving,Mar-22,2.01%,38.50%,2.92%,53.01%
Luxembourg,Retail - Other Retail,Mar-22,1.21%,19.41%,1.86%,21.49%
Malta,Corporates,Mar-22,,,3.11%,20.96%
Malta,Corporates - Of Which: Specialised Lending,Mar-22,,,4.26%,15.39%
Malta,Corporates - Of Which: SME,Mar-22,,,1.34%,25.63%
Malta,Retail,Mar-22,0.98%,20.35%,1.15%,23.43%
Malta,Retail - Secured on real estate property,Mar-22,7.58%,,1.26%,17.07%
Malta,Retail - Qualifying Revolving,Mar-22,5.39%,,3.01%,54.89%
Malta,Retail - Other Retail,Mar-22,1.00%,45.68%,0.95%,22.95%
Netherlands,Corporates,Mar-22,0.85%,11.16%,1.11%,26.90%
Netherlands,Corporates - Of Which: Specialised Lending,Mar-22,0.48%,,1.49%,14.94%
Netherlands,Corporates - Of Which: SME,Mar-22,1.40%,10.93%,2.35%,20.30%
Netherlands,Retail,Mar-22,0.52%,7.73%,0.70%,12.53%
Netherlands,Retail - Secured on real estate property,Mar-22,0.47%,4.49%,0.64%,11.33%
Netherlands,Retail - Qualifying Revolving,Mar-22,0.95%,49.50%,1.94%,43.68%
Netherlands,Retail - Other Retail,Mar-22,1.62%,27.66%,2.25%,42.18%
Norway,Corporates,Mar-22,0.22%,,1.02%,26.98%
Norway,Corporates - Of Which: Specialised Lending,Mar-22,,,1.69%,21.26%
Norway,Corporates - Of Which: SME,Mar-22,0.14%,,1.33%,22.91%
Norway,Retail,Mar-22,0.26%,21.39%,0.87%,21.65%
Norway,Retail - Secured on real estate property,Mar-22,0.18%,7.25%,0.61%,19.68%
Norway,Retail - Qualifying Revolving,Mar-22,1.18%,52.60%,1.50%,64.60%
Norway,Retail - Other Retail,Mar-22,0.55%,32.16%,2.12%,30.23%
Poland,Corporates,Mar-22,0.54%,27.61%,1.38%,34.18%
Poland,Corporates - Of Which: Specialised Lending,Mar-22,,,0.75%,26.86%
Poland,Corporates - Of Which: SME,Mar-22,0.84%,,2.46%,29.36%
Poland,Retail,Mar-22,1.54%,39.48%,1.56%,43.11%
Poland,Retail - Secured on real estate property,Mar-22,0.87%,24.08%,0.70%,35.53%
Poland,Retail - Qualifying Revolving,Mar-22,1.37%,43.44%,2.86%,73.36%
Poland,Retail - Other Retail,Mar-22,3.07%,49.00%,3.63%,57.04%
Portugal,Corporates,Mar-22,2.20%,31.96%,3.96%,39.46%
Portugal,Corporates - Of Which: Specialised Lending,Mar-22,,,1.61%,30.85%
Portugal,Corporates - Of Which: SME,Mar-22,2.64%,29.57%,7.14%,39.92%
Portugal,Retail,Mar-22,0.83%,21.63%,1.40%,20.53%
Portugal,Retail - Secured on real estate property,Mar-22,0.45%,6.84%,1.06%,17.75%
Portugal,Retail - Qualifying Revolving,Mar-22,0.74%,34.11%,4.67%,38.03%
Portugal,Retail - Other Retail,Mar-22,2.21%,32.68%,3.67%,32.72%
Romania,Corporates,Mar-22,0.48%,57.05%,2.19%,42.63%
Romania,Corporates - Of Which: Specialised Lending,Mar-22,,,1.10%,39.93%
Romania,Corporates - Of Which: SME,Mar-22,1.23%,,3.84%,40.54%
Romania,Retail,Mar-22,1.67%,59.24%,2.46%,49.06%
Romania,Retail - Secured on real estate property,Mar-22,0.58%,,1.70%,38.25%
Romania,Retail - Qualifying Revolving,Mar-22,1.18%,64.72%,2.00%,49.06%
Romania,Retail - Other Retail,Mar-22,3.13%,62.57%,2.89%,58.75%
Slovakia,Corporates,Mar-22,0.61%,32.09%,2.33%,38.69%
Slovakia,Corporates - Of Which: Specialised Lending,Mar-22,,,10.32%,36.21%
Slovakia,Corporates - Of Which: SME,Mar-22,1.08%,40.91%,3.47%,41.10%
Slovakia,Retail,Mar-22,0.30%,46.94%,1.09%,23.39%
Slovakia,Retail - Secured on real estate property,Mar-22,0.24%,33.93%,0.87%,20.86%
Slovakia,Retail - Qualifying Revolving,Mar-22,0.61%,55.43%,2.17%,55.80%
Slovakia,Retail - Other Retail,Mar-22,1.18%,62.98%,3.15%,42.91%
Slovenia,Corporates,Mar-22,0.02%,,1.54%,39.97%
Slovenia,Corporates - Of Which: Specialised Lending,Mar-22,,,,
Slovenia,Corporates - Of Which: SME,Mar-22,,,3.76%,38.81%
Slovenia,Retail,Mar-22,2.16%,75.81%,2.86%,34.33%
Slovenia,Retail - Secured on real estate property,Mar-22,,,2.55%,20.78%
Slovenia,Retail - Qualifying Revolving,Mar-22,9.03%,,2.04%,65.70%
Slovenia,Retail - Other Retail,Mar-22,1.19%,39.54%,3.13%,44.97%
Spain,Corporates,Mar-22,3.23%,19.72%,2.25%,40.62%
Spain,Corporates - Of Which: Specialised Lending,Mar-22,8.81%,42.56%,1.31%,21.85%
